ExcludeOverride,ISR_streamName,ModelRuleEffective,SourceSystem,RiskDate,ModelRuleDefault,ModelRuleOverride,AccountingSystemSecId,AssetId,ExchangeCode,ExchangeId_Best,ExchangeId_BestType,ExchangeId_CUSIP,ExchangeId_ISIN,ExchangeId_RIC,ExchangeId_SEDOL,ExchangeId_TICKER,LookThroughNameConstituents,PositionId,PositionName,PositionParentId,HoldingId,HoldingName,PricedSecurityName,SecId,SecIdParent,securityName,securityNameParent,SwapIndexId,SwapName,Underlying,AssetClass,assetClassCode,FloatingRateIndicator,FwdLegTypeCode,InstrumentClassCode,instrumentGroupCode,InstrumentTypeCode,InstrumentTypeDesc,InvestmentType,IsZeroCoupon,OnMargin,OptionStyle,OptionType,SecurityType,StrikeType,SwapLegTypeCode,ExpiryDate,ForwardDate,IssueDate,MaturityDate,PurchaseDate,StartDate,ValuationDate,Currency,FxUnderlyingCcyCode,LocalPriceCcyCode,PriceCcyCode,QuoteCcyCode,SettlementCcyCode,CorrectLocalMarketPrice,EntryPrice,FwdPrice,LatestClosingMarketPrice,LocalDirtyPrice,LocalMarketPrice,PriceInCad,StrikePrice,Amount,BaseAccruedInterest,BaseMarketValue,BaseTotalMarketValue,BaseTotalMarketValuePay,BaseTotalMarketValueRec,CalculatedAccruedInterest,ContractSize,CurrentRate,Duration,FxRateCost,LocalAccruedInterestNative,LocalMarketValue,LocalTotalMarketValue,LocalTotalMarketValuePay,LocalTotalMarketValueRec,minimumRate,Notional,PayNotional,Quantity,RecNotional,SharesOrParValue,SpotFXRate,BusinessDayRule,CompoundingFrequencyCode,ConstantTerm,couponFrequencyCode,CouponFrequencyPay,CouponFrequencyRec,CouponRate,CouponRatePay,CouponRateRec,CouponType,DayCountBasis,DayCountBasisPay,DayCountBasisRec,ReferenceFrequency,ReferenceRateTerm,ReferenceRateTermPay,ReferenceRateTermRec,ResetFrequency,ResetRateFrequencyPay,ResetRateFrequencyRec,ResetSpreadPay,YieldRiskFactorTerm,RiskCountryCode,GicsCodeLowestLevel,PositionProxyPricedSecurityName,ProxyIndexCode,ProxyIndexName,ResetSpread,resetSpreadBP,ResetSpreadFI,ResetSpreadFI_BP,ResetSpreadRec,IssuerCode,IssuerCurve,IssuerName,referenceCurve,ReferenceRateCurvePay,ReferenceRateCurveRec,RisklessCurve,ConstituentHoldingGroupName,ParentPortfolioCode,PortfolioCode,PortfolioObjectiveCode,CounterParty,HoldingGroupName,EquityName,EquityPrice,EquityCurrency,PriceInLocalCcy,CurrencyCodePay,CurrencyCodeRec,ReportTagGroup,TagDerivationBasis,InvestmentStyle,FundMandate,FundStrategy,ManagementStyle,FundName,FundManager,BCIPoolRegion,EquityVP,PortCalc,SettlementAmount,RepoTradeDate,RepoSettleDate,TerminationAmount,UnderlyingBondEDMsecurityId,UnderlyingBondIPSsecurityId,UnderlyingBondParAmount,UnderlyingInstrumentTypeCode,UnderlyingShortName,UnderlyingMaturityDate,UnderlyingISIN,UnderyingREDCode,UnderlyingCUSIP,GMRAYesNo,RehypothecationAllowed,LocalFuturePrice,SubPortfolioCode,BCIUltimateParentIssuerName,BCIGicsSector,InstrumentClass,InstrumentGroup,InstrumentType,PortfolioName,PurchaseDateRec,PurchaseDatePay,SwapLegTypeCodePay,SwapLegTypeCodeRec,BCIMaturityDate,BCIIssueDate,BCIFXRate,BenchmarkID,PEInvestmentType,DiscountCurve,spreadCurve,LienType,FacilityType,FairSpread,MaturityBucket
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS28310645P,E0CDOR01_IRS28310645P,,UNK,UNK,,,,,,,E0CDOR01_70626024_70626025,IRS28310645SWAP,70626023,E0CDOR01_70626024_70626025,IRS28310645SWAP,E0CDOR01_70626024_70626025_20230811,70626024_70626025,70626023,IRS Leg CAD CORRA +60 P FEB25 CIBC/IRS Leg CAD 3MBA +28.5 R FEB25 CIBC,IRS28310645SWAP,,IRS28310645SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20250203,20220203,20220203,20230731,CAD,,CAD,,,,,,,0.000782,,0.000782,,,60000000.0,-780281.13,,46958.68,-65664895.49,65711854.17,-1.30046855,,,,,-780281.13,,46958.68,-65664895.49,65711854.17,,,-60000000.0,1.0,60000000.0,-60000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.6,,,,,,,,,,,0.285,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,CIBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20220203,20220203,FLOAT_LEG,FLOAT_LEG,20250203,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,More than 360 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS28310646P,E0CDOR03_IRS28310646P,,UNK,UNK,,,,,,,E0CDOR03_70626027_70626028,IRS28310646SWAP,70626026,E0CDOR03_70626027_70626028,IRS28310646SWAP,E0CDOR03_70626027_70626028_20230811,70626027_70626028,70626026,IRS Leg CAD CORRA +60 P FEB25 CIBC/IRS Leg CAD 3MBA +28.5 R FEB25 CIBC,IRS28310646SWAP,,IRS28310646SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20250203,20220203,20220203,20230731,CAD,,CAD,,,,,,,0.000782,,0.000782,,,40000000.0,-520187.42,,31305.79,-43776596.99,43807902.78,-1.30046855,,,,,-520187.419999,,31305.79,-43776596.989999,43807902.779999,,,-40000000.0,1.0,40000000.0,-40000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.6,,,,,,,,,,,0.285,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,CIBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20220203,20220203,FLOAT_LEG,FLOAT_LEG,20250203,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,More than 360 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS29961431P,E0CDOR01_IRS29961431P,,UNK,UNK,,,,,,,E0CDOR01_70640115_70640116,IRS29961431SWAP,70640114,E0CDOR01_70640115_70640116,IRS29961431SWAP,E0CDOR01_70640115_70640116_20230811,70640115_70640116,70640114,IRS Leg CAD 3MBA +32.5 P MAR24 Royal Bank of Canad/IRS Leg CAD 3MBA R MAR24 Royal Bank of Canada,IRS29961431SWAP,,IRS29961431SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_VANILLA_SWP,Interest Rate Vanilla Swap,Direct,,,,,,,FLOAT_LEG,,,,20240304,20220321,20220321,20230731,CAD,,CAD,,,,,,,7.2e-05,,7.2e-05,,,50000000.0,-358464.4,,3602.61,-51986079.62,51989682.23,-0.7169288,,,,,-358464.4,,3602.609999,-51986079.62,51989682.229999,,,-50000000.0,1.0,50000000.0,-50000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.325,,,,,,,,,,,0.0,,,,CAD Swap,CAD Swap,CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,RBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Vanilla Swap,CDOR Floating Rate Fund - Asset,20220321,20220321,FLOAT_LEG,FLOAT_LEG,20240304,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,91 to 360 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS29961611P,E0CDOR03_IRS29961611P,,UNK,UNK,,,,,,,E0CDOR03_70640118_70640119,IRS29961611SWAP,70640117,E0CDOR03_70640118_70640119,IRS29961611SWAP,E0CDOR03_70640118_70640119_20230811,70640118_70640119,70640117,IRS Leg CAD 3MBA +32.5 P MAR24 Royal Bank of Canad/IRS Leg CAD 3MBA R MAR24 Royal Bank of Canada,IRS29961611SWAP,,IRS29961611SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_VANILLA_SWP,Interest Rate Vanilla Swap,Direct,,,,,,,FLOAT_LEG,,,,20240304,20220321,20220321,20230731,CAD,,CAD,,,,,,,7.2e-05,,7.2e-05,,,25000000.0,-179232.2,,1801.31,-25993039.81,25994841.12,-0.7169288,,,,,-179232.2,,1801.31,-25993039.81,25994841.12,,,-25000000.0,1.0,25000000.0,-25000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.325,,,,,,,,,,,0.0,,,,CAD Swap,CAD Swap,CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,RBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Vanilla Swap,BCI CDOR Pool 3 GPF - Asset,20220321,20220321,FLOAT_LEG,FLOAT_LEG,20240304,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,91 to 360 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS40459829P,E0CDOR03_IRS40459829P,,UNK,UNK,,,,,,,E0CDOR03_70720222_70720223,IRS40459829SWAP,70720221,E0CDOR03_70720222_70720223,IRS40459829SWAP,E0CDOR03_70720222_70720223_20230811,70720222_70720223,70720221,IRS Leg CAD CORRA +70 P NOV23 Royal Bank of Canada/IRS Leg CAD 3MBA +25.2 R NOV23 Royal Bank of Canad,IRS40459829SWAP,,IRS40459829SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20231124,20221129,20221129,20230731,CAD,,CAD,,,,,,,-0.000665,,-0.000665,,,50000000.0,-510655.06,,-33285.42,-51415515.14,51382229.72,-1.02131012,,,,,-510655.06,,-33285.420001,-51415515.14,51382229.719999,,,-50000000.0,1.0,50000000.0,-50000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.7,,,,,,,,,,,0.252,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,RBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20221129,20221129,FLOAT_LEG,FLOAT_LEG,20231124,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,91 to 360 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS44824050P,E0CDOR01_IRS44824050P,,UNK,UNK,,,,,,,E0CDOR01_70751967_70751968,IRS44824050SWAP,70751966,E0CDOR01_70751967_70751968,IRS44824050SWAP,E0CDOR01_70751967_70751968_20230811,70751967_70751968,70751966,IRS Leg CAD CORRA +40 P SEP23 Royal Bank of Canada/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS44824050SWAP,,IRS44824050SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230915,20230228,20230228,20230731,CAD,,CAD,,,,,,,-0.000204,,-0.000204,,,100000000.0,-649051.67,,-20495.37,-101341175.34,101320679.97,-0.64905167,,,,,-649051.67,,-20495.37,-101341175.34,101320679.97,,,-100000000.0,1.0,100000000.0,-100000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.4,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,RBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230228,20230228,FLOAT_LEG,FLOAT_LEG,20230915,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS44978396P,E0CDOR01_IRS44978396P,,UNK,UNK,,,,,,,E0CDOR01_70753099_70753098,IRS44978396SWAP,70753097,E0CDOR01_70753099_70753098,IRS44978396SWAP,E0CDOR01_70753099_70753098_20230811,70753099_70753098,70753097,IRS Leg CAD CORRA +41 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS44978396SWAP,,IRS44978396SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230908,20230303,20230303,20230731,CAD,,CAD,,,,,,,-0.000242,,-0.000242,,,150000000.0,-1124730.69,,-36378.41,-152008982.3,151972603.89,-0.74982046,,,,,-1124730.689999,,-36378.409999,-152008982.299999,151972603.89,,,-150000000.0,1.0,150000000.0,-150000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.41,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,TDB,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230303,20230303,FLOAT_LEG,FLOAT_LEG,20230908,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,8 to 30 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS44978397P,E0CDOR03_IRS44978397P,,UNK,UNK,,,,,,,E0CDOR03_70753102_70753101,IRS44978397SWAP,70753100,E0CDOR03_70753102_70753101,IRS44978397SWAP,E0CDOR03_70753102_70753101_20230811,70753102_70753101,70753100,IRS Leg CAD CORRA +41 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS44978397SWAP,,IRS44978397SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230908,20230303,20230303,20230731,CAD,,CAD,,,,,,,-0.000242,,-0.000242,,,100000000.0,-749820.46,,-24252.28,-101339321.54,101315069.26,-0.74982046,,,,,-749820.459999,,-24252.279999,-101339321.539999,101315069.26,,,-100000000.0,1.0,100000000.0,-100000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.41,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,TDB,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230303,20230303,FLOAT_LEG,FLOAT_LEG,20230908,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,8 to 30 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45084461P,E0CDOR03_IRS45084461P,,UNK,UNK,,,,,,,E0CDOR03_70753910_70753911,IRS45084461SWAP,70753909,E0CDOR03_70753910_70753911,IRS45084461SWAP,E0CDOR03_70753910_70753911_20230811,70753910_70753911,70753909,IRS Leg CAD CORRA +41.5 P SEP23 Royal Bank of Cana/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS45084461SWAP,,IRS45084461SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230907,20230307,20230307,20230731,CAD,,CAD,,,,,,,-0.000278,,-0.000278,,,50000000.0,-382386.72,,-13915.34,-50669841.72,50655926.38,-0.76477344,,,,,-382386.719999,,-13915.339999,-50669841.719999,50655926.38,,,-50000000.0,1.0,50000000.0,-50000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.415,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,RBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230307,20230307,FLOAT_LEG,FLOAT_LEG,20230907,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,8 to 30 Days
