ExcludeOverride,ISR_streamName,ModelRuleEffective,SourceSystem,RiskDate,ModelRuleDefault,ModelRuleOverride,AccountingSystemSecId,AssetId,ExchangeCode,ExchangeId_Best,ExchangeId_BestType,ExchangeId_CUSIP,ExchangeId_ISIN,ExchangeId_RIC,ExchangeId_SEDOL,ExchangeId_TICKER,LookThroughNameConstituents,PositionId,PositionName,PositionParentId,HoldingId,HoldingName,PricedSecurityName,SecId,SecIdParent,securityName,securityNameParent,SwapIndexId,SwapName,Underlying,AssetClass,assetClassCode,FloatingRateIndicator,FwdLegTypeCode,InstrumentClassCode,instrumentGroupCode,InstrumentTypeCode,InstrumentTypeDesc,InvestmentType,IsZeroCoupon,OnMargin,OptionStyle,OptionType,SecurityType,StrikeType,SwapLegTypeCode,ExpiryDate,ForwardDate,IssueDate,MaturityDate,PurchaseDate,StartDate,ValuationDate,Currency,FxUnderlyingCcyCode,LocalPriceCcyCode,PriceCcyCode,QuoteCcyCode,SettlementCcyCode,CorrectLocalMarketPrice,EntryPrice,FwdPrice,LatestClosingMarketPrice,LocalDirtyPrice,LocalMarketPrice,PriceInCad,StrikePrice,Amount,BaseAccruedInterest,BaseMarketValue,BaseTotalMarketValue,BaseTotalMarketValuePay,BaseTotalMarketValueRec,CalculatedAccruedInterest,ContractSize,CurrentRate,Duration,FxRateCost,LocalAccruedInterestNative,LocalMarketValue,LocalTotalMarketValue,LocalTotalMarketValuePay,LocalTotalMarketValueRec,minimumRate,Notional,PayNotional,Quantity,RecNotional,SharesOrParValue,SpotFXRate,BusinessDayRule,CompoundingFrequencyCode,ConstantTerm,couponFrequencyCode,CouponFrequencyPay,CouponFrequencyRec,CouponRate,CouponRatePay,CouponRateRec,CouponType,DayCountBasis,DayCountBasisPay,DayCountBasisRec,ReferenceFrequency,ReferenceRateTerm,ReferenceRateTermPay,ReferenceRateTermRec,ResetFrequency,ResetRateFrequencyPay,ResetRateFrequencyRec,ResetSpreadPay,YieldRiskFactorTerm,RiskCountryCode,GicsCodeLowestLevel,PositionProxyPricedSecurityName,ProxyIndexCode,ProxyIndexName,ResetSpread,resetSpreadBP,ResetSpreadFI,ResetSpreadFI_BP,ResetSpreadRec,IssuerCode,IssuerCurve,IssuerName,referenceCurve,ReferenceRateCurvePay,ReferenceRateCurveRec,RisklessCurve,ConstituentHoldingGroupName,ParentPortfolioCode,PortfolioCode,PortfolioObjectiveCode,CounterParty,HoldingGroupName,EquityName,EquityPrice,EquityCurrency,PriceInLocalCcy,CurrencyCodePay,CurrencyCodeRec,ReportTagGroup,TagDerivationBasis,InvestmentStyle,FundMandate,FundStrategy,ManagementStyle,FundName,FundManager,BCIPoolRegion,EquityVP,PortCalc,SettlementAmount,RepoTradeDate,RepoSettleDate,TerminationAmount,UnderlyingBondEDMsecurityId,UnderlyingBondIPSsecurityId,UnderlyingBondParAmount,UnderlyingInstrumentTypeCode,UnderlyingShortName,UnderlyingMaturityDate,UnderlyingISIN,UnderyingREDCode,UnderlyingCUSIP,GMRAYesNo,RehypothecationAllowed,LocalFuturePrice,SubPortfolioCode,BCIUltimateParentIssuerName,BCIGicsSector,InstrumentClass,InstrumentGroup,InstrumentType,PortfolioName,PurchaseDateRec,PurchaseDatePay,SwapLegTypeCodePay,SwapLegTypeCodeRec,BCIMaturityDate,BCIIssueDate,BCIFXRate,BenchmarkID,PEInvestmentType,DiscountCurve,spreadCurve,LienType,FacilityType,FairSpread,MaturityBucket
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45197766P,E0CDOR01_IRS45197766P,,UNK,UNK,,,,,,,E0CDOR01_70755675_70755676,IRS45197766SWAP,70755674,E0CDOR01_70755675_70755676,IRS45197766SWAP,E0CDOR01_70755675_70755676_20230811,70755675_70755676,70755674,IRS Leg CAD CORRA +42.5 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS45197766SWAP,,IRS45197766SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230911,20230310,20230310,20230731,CAD,,CAD,,,,,,,-0.000271,,-0.000271,,,20000000.0,-141833.72,,-5424.3,-20266199.02,20260774.72,-0.7091686,,,,,-141833.72,,-5424.300001,-20266199.02,20260774.719999,,,-20000000.0,1.0,20000000.0,-20000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.425,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,TDB,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230310,20230310,FLOAT_LEG,FLOAT_LEG,20230911,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45609314P,E0CDOR01_IRS45609314P,,UNK,UNK,,,,,,,E0CDOR01_70758107_70758108,IRS45609314SWAP,70758106,E0CDOR01_70758107_70758108,IRS45609314SWAP,E0CDOR01_70758107_70758108_20230811,70758107_70758108,70758106,IRS Leg CAD CORRA +48.5 P SEP23 Royal Bank of Cana/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS45609314SWAP,,IRS45609314SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230925,20230323,20230323,20230731,CAD,,CAD,,,,,,,-0.00028,,-0.00028,,,40000000.0,-223456.13,,-11220.55,-40558118.01,40546897.46,-0.558640325,,,,,-223456.13,,-11220.550001,-40558118.01,40546897.459999,,,-40000000.0,1.0,40000000.0,-40000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.485,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,RBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230323,20230323,FLOAT_LEG,FLOAT_LEG,20230925,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45609315P,E0CDOR03_IRS45609315P,,UNK,UNK,,,,,,,E0CDOR03_70758110_70758111,IRS45609315SWAP,70758109,E0CDOR03_70758110_70758111,IRS45609315SWAP,E0CDOR03_70758110_70758111_20230811,70758110_70758111,70758109,IRS Leg CAD CORRA +48.5 P SEP23 Royal Bank of Cana/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS45609315SWAP,,IRS45609315SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230925,20230323,20230323,20230731,CAD,,CAD,,,,,,,-0.00028,,-0.00028,,,20000000.0,-111728.06,,-5610.27,-20279059.0,20273448.73,-0.5586403,,,,,-111728.06,,-5610.27,-20279059.0,20273448.73,,,-20000000.0,1.0,20000000.0,-20000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.485,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,RBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230323,20230323,FLOAT_LEG,FLOAT_LEG,20230925,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45639627P,E0CDOR01_IRS45639627P,,UNK,UNK,,,,,,,E0CDOR01_70758419_70758420,IRS45639627SWAP,70758418,E0CDOR01_70758419_70758420,IRS45639627SWAP,E0CDOR01_70758419_70758420_20230811,70758419_70758420,70758418,IRS Leg CAD CORRA +52 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS45639627SWAP,,IRS45639627SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230908,20230321,20230321,20230731,CAD,,CAD,,,,,,,-0.000571,,-0.000571,,,150000000.0,-2817109.65,,-85764.7,-153695832.34,153610067.64,-1.8780731,,,,,-2817109.649999,,-85764.699999,-153695832.339999,153610067.64,,,-150000000.0,1.0,150000000.0,-150000000.0,,,semiannual,,semiannual,semiannual,semiannual,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,semiannual,semiannual,semiannual,quarterly,0.52,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,TDB,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230321,20230321,FLOAT_LEG,FLOAT_LEG,20230908,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,8 to 30 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45639628P,E0CDOR03_IRS45639628P,,UNK,UNK,,,,,,,E0CDOR03_70758422_70758423,IRS45639628SWAP,70758421,E0CDOR03_70758422_70758423,IRS45639628SWAP,E0CDOR03_70758422_70758423_20230811,70758422_70758423,70758421,IRS Leg CAD CORRA +52 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS45639628SWAP,,IRS45639628SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230908,20230321,20230321,20230731,CAD,,CAD,,,,,,,-0.000571,,-0.000571,,,50000000.0,-939036.55,,-28588.23,-51231944.11,51203355.88,-1.8780731,,,,,-939036.55,,-28588.230001,-51231944.11,51203355.879999,,,-50000000.0,1.0,50000000.0,-50000000.0,,,semiannual,,semiannual,semiannual,semiannual,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,semiannual,semiannual,semiannual,quarterly,0.52,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,TDB,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230321,20230321,FLOAT_LEG,FLOAT_LEG,20230908,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,8 to 30 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS45824370P,E0CDOR03_IRS45824370P,,UNK,UNK,,,,,,,E0CDOR03_70760304_70760305,IRS45824370SWAP,70760303,E0CDOR03_70760304_70760305,IRS45824370SWAP,E0CDOR03_70760304_70760305_20230811,70760304_70760305,70760303,IRS Leg CAD CORRA +47.5 P SEP23 BMO/IRS Leg CAD 3MBA R SEP23 BMO,IRS45824370SWAP,,IRS45824370SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230919,20230327,20230327,20230731,CAD,,CAD,,,,,,,-0.000404,,-0.000404,,,50000000.0,-889402.62,,-20246.23,-51262907.51,51242661.28,-1.77880524,,,,,-889402.62,,-20246.230001,-51262907.51,51242661.279999,,,-50000000.0,1.0,50000000.0,-50000000.0,,,semiannual,,semiannual,semiannual,semiannual,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,semiannual,semiannual,semiannual,quarterly,0.475,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,BMO,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230327,20230327,FLOAT_LEG,FLOAT_LEG,20230919,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46125333P,E0CDOR01_IRS46125333P,,UNK,UNK,,,,,,,E0CDOR01_70760990_70760991,IRS46125333SWAP,70760989,E0CDOR01_70760990_70760991,IRS46125333SWAP,E0CDOR01_70760990_70760991_20230811,70760990_70760991,70760989,IRS Leg CAD CORRA +48.25 P SEP23 Royal Bank of Can/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS46125333SWAP,,IRS46125333SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230913,20230329,20230329,20230731,CAD,,CAD,,,,,,,-0.000424,,-0.000424,,,115000000.0,-807839.36,,-48813.55,-116565046.98,116516233.43,-0.702469009,,,,,-807839.359999,,-48813.549999,-116565046.979999,116516233.43,,,-115000000.0,1.0,115000000.0,-115000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.4825,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,RBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230329,20230329,FLOAT_LEG,FLOAT_LEG,20230913,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46147050P,E0CDOR01_IRS46147050P,,UNK,UNK,,,,,,,E0CDOR01_70761301_70761302,IRS46147050SWAP,70761300,E0CDOR01_70761301_70761302,IRS46147050SWAP,E0CDOR01_70761301_70761302_20230811,70761301_70761302,70761300,IRS Leg CAD CORRA +46.25 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS46147050SWAP,,IRS46147050SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230915,20230406,20230406,20230731,CAD,,CAD,,,,,,,-0.000355,,-0.000355,,,150000000.0,-1006674.03,,-53390.28,-152035234.81,151981844.53,-0.67111602,,,,,-1006674.03,,-53390.28,-152035234.81,151981844.53,,,-150000000.0,1.0,150000000.0,-150000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.4625,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,TDB,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230406,20230406,FLOAT_LEG,FLOAT_LEG,20230915,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46147051P,E0CDOR03_IRS46147051P,,UNK,UNK,,,,,,,E0CDOR03_70761304_70761305,IRS46147051SWAP,70761303,E0CDOR03_70761304_70761305,IRS46147051SWAP,E0CDOR03_70761304_70761305_20230811,70761304_70761305,70761303,IRS Leg CAD CORRA +46.25 P SEP23 TDBank/IRS Leg CAD 3MBA R SEP23 TDBank,IRS46147051SWAP,,IRS46147051SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230915,20230406,20230406,20230731,CAD,,CAD,,,,,,,-0.000355,,-0.000355,,,40000000.0,-268446.41,,-14237.41,-40542729.28,40528491.87,-0.671116025,,,,,-268446.409999,,-14237.409999,-40542729.279999,40528491.87,,,-40000000.0,1.0,40000000.0,-40000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.4625,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,TDB,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230406,20230406,FLOAT_LEG,FLOAT_LEG,20230915,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46178203P,E0CDOR01_IRS46178203P,,UNK,UNK,,,,,,,E0CDOR01_70761744_70761745,IRS46178203SWAP,70761743,E0CDOR01_70761744_70761745,IRS46178203SWAP,E0CDOR01_70761744_70761745_20230811,70761744_70761745,70761743,IRS Leg CAD CORRA +48.125 P SEP23 Royal Bank of Ca/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS46178203SWAP,,IRS46178203SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230915,20230331,20230331,20230731,CAD,,CAD,,,,,,,-0.000402,,-0.000402,,,200000000.0,-1346958.06,,-80575.76,-202723035.13,202642459.37,-0.67347903,,,,,-1346958.06,,-80575.76,-202723035.13,202642459.37,,,-200000000.0,1.0,200000000.0,-200000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.48125,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR01,E0CDOR01,POOL,RBC,E0CDOR01,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,Floating Rate Fund - Cdor,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR01,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,CDOR Floating Rate Fund - Asset,20230331,20230331,FLOAT_LEG,FLOAT_LEG,20230915,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46178204P,E0CDOR03_IRS46178204P,,UNK,UNK,,,,,,,E0CDOR03_70761747_70761748,IRS46178204SWAP,70761746,E0CDOR03_70761747_70761748,IRS46178204SWAP,E0CDOR03_70761747_70761748_20230811,70761747_70761748,70761746,IRS Leg CAD CORRA +48.125 P SEP23 Royal Bank of Ca/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS46178204SWAP,,IRS46178204SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230915,20230331,20230331,20230731,CAD,,CAD,,,,,,,-0.000402,,-0.000402,,,50000000.0,-336739.52,,-20143.94,-50680758.78,50660614.84,-0.67347904,,,,,-336739.52,,-20143.94,-50680758.78,50660614.84,,,-50000000.0,1.0,50000000.0,-50000000.0,,,quarterly,,quarterly,quarterly,quarterly,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,quarterly,quarterly,quarterly,quarterly,0.48125,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR03,E0CDOR03,POOL,RBC,E0CDOR03,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR3,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR03,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 3 GPF - Asset,20230331,20230331,FLOAT_LEG,FLOAT_LEG,20230915,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
N,SCD_IRS,RSM_InterestRateSwap_PayFloatReceiveFloat,SCD,20230811,RSM_InterestRateSwap_PayFloatReceiveFloat,RSM_InterestRateSwap_PayFloatReceiveFloat,IRS46254512P,E0CDOR04_IRS46254512P,,UNK,UNK,,,,,,,E0CDOR04_70762365_70762366,IRS46254512SWAP,70762364,E0CDOR04_70762365_70762366,IRS46254512SWAP,E0CDOR04_70762365_70762366_20230811,70762365_70762366,70762364,IRS Leg CAD CORRA +48.75 P SEP23 Royal Bank of Can/IRS Leg CAD 3MBA R SEP23 Royal Bank of Canada,IRS46254512SWAP,,IRS46254512SWAP,IR Swap,Interest Rate,INT_RTE,,,DERIV,SWAP,IR_OVERNIGHT_IDX_SWP,Interest Rate Overnight Index Swap,Direct,,,,,,,FLOAT_LEG,,,,20230919,20230404,20230404,20230731,CAD,,CAD,,,,,,,-0.000452,,-0.000452,,,50000000.0,-836136.37,,-22616.45,-51210520.63,51187904.18,-1.67227274,,,,,-836136.37,,-22616.45,-51210520.63,51187904.18,,,-50000000.0,1.0,50000000.0,-50000000.0,,,semiannual,,semiannual,semiannual,semiannual,,,,,dayCount_Act_365,dayCount_Act_365,dayCount_Act_365,UNK,daily,daily,semiannual,semiannual,semiannual,quarterly,0.4875,,,,,,,,,,,0.0,,,,CAD CORRA OIS (SP),CAD CORRA OIS (SP),CAD Swap,CAD Govt,,E0CDOR04,E0CDOR04,POOL,RBC,E0CDOR04,,,,,CAD,CAD,,MDSLookup,Active,Canada,Floating Rate,Internal,FLOATING RATE FUNDS CDOR4,BCI,Canada,Fixed Income,DWH_IBOR,,,,,,,,,,,,,,,,,E0CDOR04,IR Swap,Derivatives,Derivative,Swap,Interest Rate Overnight Index Swap,BCI CDOR Pool 4 Quantitative - Asset,20230404,20230404,FLOAT_LEG,FLOAT_LEG,20230919,,,CASH.SC.CASHPROXY_CAD@rmgBenchmarks,,,,,,,31 to 90 Days
